arm,theta,rho,seed,cca_s,mcc_s,gap_s,cca_ab,mcc_ab,gap_ab
mix_1000,0.0,1.0,5,0.991598790080738,0.960176622016986,0.031422168063752,0.991598790080738,0.960176622016986,0.031422168063752
mix_1000,0.0,0.6,4,0.5996932334963132,0.4853405913701688,0.1143526421261444,0.5996932334963132,0.4853405913701688,0.1143526421261444
mix_1000,0.0,0.6,5,0.506829875641912,0.5075235399289384,-0.0006936642870264,0.506829875641912,0.5075235399289384,-0.0006936642870264
mix_1000,0.0,0.2,4,0.4452767808562693,0.3957513393313783,0.049525441524891,0.4452767808562693,0.3957513393313783,0.049525441524891
mix_1000,0.0,0.2,5,0.501431647345559,0.4997010139809886,0.0017306333645703,0.501431647345559,0.4997010139809886,0.0017306333645703
mix_1000,0.0,0.05,4,0.5004070353656805,0.4499011905963846,0.0505058447692959,0.5004070353656805,0.4499011905963846,0.0505058447692959
mix_1000,0.0,0.05,5,0.4562751105765744,0.4522990316881528,0.0039760788884215,0.4562751105765744,0.4522990316881528,0.0039760788884215
mix_1000,0.7853981633974483,1.0,4,0.990597980116702,0.9552384791510452,0.0353595009656566,0.9905970672178576,0.8573345259388282,0.1332625412790294
mix_1000,0.7853981633974483,1.0,5,0.9913195817782812,0.9428122349688683,0.0485073468094126,0.9913191008184752,0.8825418078739671,0.1087772929445082
mix_1000,0.7853981633974483,0.6,4,0.5592011318431078,0.528141094192366,0.0310600376507418,0.559201132405421,0.5298713845139249,0.0293297478914961
mix_1000,0.7853981633974483,0.6,5,0.5025541970757091,0.4002231976403374,0.1023309994353717,0.5025541982697288,0.4982571155469377,0.0042970827227911
mix_1000,0.7853981633974483,0.2,4,0.5073790421626385,0.4269559432054366,0.0804230989572019,0.5073790431362024,0.4888079216945741,0.0185711214416283
mix_1000,0.7853981633974483,0.2,5,0.5384937822681787,0.6432974557973685,-0.1048036735291898,0.5384937818417652,0.4990690872315937,0.0394246946101714
mix_1000,0.7853981633974483,0.05,4,0.4699530945894031,0.5530115458419793,-0.0830584512525762,0.4699530944604813,0.4629310482327035,0.0070220462277778
mix_1000,0.7853981633974483,0.05,5,0.4477114719781153,0.4167857358600344,0.0309257361180808,0.4477114719003158,0.4504131309413336,-0.0027016590410177
faithful,0.0,1.0,6,0.9949466272469624,0.8041343859703228,0.1908122412766394,0.9949466272469624,0.8041343859703228,0.1908122412766394
faithful,0.0,1.0,7,0.9946717336708124,0.8277916171471793,0.1668801165236331,0.9946717336708124,0.8277916171471793,0.1668801165236331
faithful,0.0,0.6,6,0.9933098058037154,0.9836331617574546,0.0096766440462607,0.9933098058037154,0.9836331617574546,0.0096766440462607
faithful,0.0,0.6,7,0.989372845047514,0.9202700121652014,0.0691028328823126,0.989372845047514,0.9202700121652014,0.0691028328823126
faithful,0.0,0.2,6,0.9878178618785928,0.9699027201724234,0.0179151417061694,0.9878178618785928,0.9699027201724234,0.0179151417061694
faithful,0.0,0.2,7,0.9904863886563872,0.9655373369791268,0.0249490516772602,0.9904863886563872,0.9655373369791268,0.0249490516772602
faithful,0.0,0.05,6,0.9887578381998012,0.9165805925307976,0.0721772456690035,0.9887578381998012,0.9165805925307976,0.0721772456690035
faithful,0.0,0.05,7,0.5226998606545927,0.5170308069059245,0.0056690537486682,0.5226998606545927,0.5170308069059245,0.0056690537486682
faithful,0.7853981633974483,1.0,6,0.9915879335029316,0.7017205618262573,0.2898673716766743,0.991587933526584,0.991285086761312,0.0003028467652722
faithful,0.7853981633974483,1.0,7,0.991187751595172,0.8784254228038455,0.1127623287913266,0.991187740319349,0.9457522875235468,0.0454354527958023
faithful,0.7853981633974483,0.6,6,0.9917777207976568,0.860998758543887,0.1307789622537699,0.9917782757552416,0.9562372379045024,0.0355410378507393
faithful,0.7853981633974483,0.6,7,0.9927382397139248,0.9572947962380616,0.0354434434758631,0.9927382396037792,0.8624115200412994,0.1303267195624798
faithful,0.7853981633974483,0.2,6,0.990885865748156,0.7956912223409924,0.1951946434071635,0.9908858661644816,0.979667033440524,0.0112188327239575
faithful,0.7853981633974483,0.2,7,0.9900080939565736,0.9895322006685434,0.0004758932880303,0.9900078036250154,0.7112308104341067,0.2787769931909086
faithful,0.7853981633974483,0.05,6,0.9889648016739816,0.7655713899524039,0.2233934117215776,0.9889648017195958,0.983759947233225,0.0052048544863707
faithful,0.7853981633974483,0.05,7,0.9896500813755904,0.7433454847901528,0.2463045965854375,0.9896500815068716,0.9872929806861356,0.002357100820736
mix_1000,0.0,1.0,6,0.9917867340307254,0.8341574971741661,0.1576292368565592,0.9917867340307254,0.8341574971741661,0.1576292368565592
mix_1000,0.0,1.0,7,0.9908828940901904,0.7822102098703636,0.2086726842198267,0.9908828940901904,0.7822102098703636,0.2086726842198267
mix_1000,0.0,0.6,6,0.5772005577807873,0.5757038787642823,0.0014966790165049,0.5772005577807873,0.5757038787642823,0.0014966790165049
mix_1000,0.0,0.6,7,0.7063200776329595,0.6741549654334758,0.0321651121994837,0.7063200776329595,0.6741549654334758,0.0321651121994837
mix_1000,0.0,0.2,6,0.6511751096412675,0.6435023174211234,0.007672792220144,0.6511751096412675,0.6435023174211234,0.007672792220144
