rho,adv_lambda,seed,overlap,bio_recovery,bio_recovery_shared,batch_removed,source_leakage,ilisi,off_manifold_latent
0.15,10.0,0,0.15,0.9987251162528992,0.7925654053688049,0.16966666666666663,0.9151666666666667,0.17293153450348386,19.908785342688528
0.15,30.0,0,0.15,0.9984878301620483,0.7403705716133118,0.1629999999999998,0.9185000000000001,0.16398058404907534,18.180863671207412
0.15,100.0,0,0.15,0.9972862005233765,0.6202268004417419,0.15600000000000014,0.9219999999999999,0.16611931256002754,23.82421623051175
0.15,0.0,1,0.15,0.9991365671157837,0.8925056457519531,0.15133333333333332,0.9243333333333333,0.14138610612838942,28.720695771362145
0.15,0.3,1,0.15,0.9991243481636047,0.8942632675170898,0.14833333333333343,0.9258333333333333,0.14241363949345787,26.856730596439757
0.15,1.0,1,0.15,0.9991226196289062,0.8963819146156311,0.1379999999999999,0.931,0.13848487379547314,26.321877491209044
0.15,3.0,1,0.15,0.9990641474723816,0.8868130445480347,0.11733333333333329,0.9413333333333334,0.13303102451946747,26.009181484091282
0.15,10.0,1,0.15,0.9989141225814819,0.858893871307373,0.15133333333333332,0.9243333333333333,0.15055106208834568,33.2206464699015
0.15,30.0,1,0.15,0.9984936118125916,0.7005248069763184,0.139,0.9305,0.14136587633251585,12.440862843938614
0.15,100.0,1,0.15,0.9977655410766602,0.5316637754440308,0.1323333333333334,0.9338333333333333,0.13832607930159146,19.181723541888086
0.15,0.0,2,0.15,0.999099612236023,0.8918702006340027,0.1629999999999998,0.9185000000000001,0.15540310413055725,24.273898832225647
0.15,0.3,2,0.15,0.9991016983985901,0.8869730234146118,0.16366666666666685,0.9181666666666666,0.15605496930612084,24.69390372006525
0.15,1.0,2,0.15,0.9991065263748169,0.8858771324157715,0.16266666666666674,0.9186666666666666,0.15659959166613402,22.66419911712707
0.15,3.0,2,0.15,0.9990710616111755,0.874923050403595,0.1546666666666665,0.9226666666666667,0.1574042087646219,20.012070306745997
0.15,10.0,2,0.15,0.9987761974334717,0.8376220464706421,0.17500000000000004,0.9125,0.16488243787425705,37.51579277564679
0.15,30.0,2,0.15,0.9985477328300476,0.8329946398735046,0.12766666666666682,0.9361666666666666,0.13427847525376557,29.31444155552523
0.15,100.0,2,0.15,0.9976356625556946,0.7036765813827515,0.18466666666666676,0.9076666666666666,0.1816296551089518,24.357751230871354
0.25,0.0,0,0.25,0.9990909099578857,0.9634386897087097,0.2469999999999999,0.8765000000000001,0.24035510720363118,17.908480191854242
0.25,0.3,0,0.25,0.9990900754928589,0.9626513719558716,0.2526666666666668,0.8736666666666666,0.2388560861233946,17.330987556724633
0.25,1.0,0,0.25,0.9990807175636292,0.9632240533828735,0.2676666666666667,0.8661666666666666,0.24074803402616718,16.911394601628416
0.25,3.0,0,0.25,0.9990682005882263,0.9626333713531494,0.2453333333333334,0.8773333333333333,0.24085659732554565,13.256064674927032
0.25,10.0,0,0.25,0.998873233795166,0.9468820691108704,0.2683333333333333,0.8658333333333333,0.2557110179188846,14.448272768846657
