arm,rho,seed,cca,mcc,gap,batch_removed
adv_100,0.8,0,0.9451269071850382,0.6683095583127465,0.2769815219989189,0.8159999999999998
adv_100,0.8,1,0.9788841117372398,0.931381777919082,0.0475930139280493,0.8046666666666666
adv_100,0.8,2,0.984822697085502,0.9784504423032372,0.006250490501345,0.8306666666666667
adv_100,0.8,3,0.9847675638677706,0.948285742738358,0.0363665683696481,0.8566666666666667
adv_100,0.8,4,0.9915266372048324,0.9644687839825954,0.0271556882684838,0.8380000000000001
adv_100,0.8,5,0.938108692542351,0.7905174094039564,0.1478353634460683,0.7993333333333332
adv_100,0.8,6,0.9896020575533552,0.8651342972251196,0.1243384653890387,0.8286666666666667
adv_100,0.8,7,0.9888373142910294,0.8924109484849547,0.0964805459967346,0.8399999999999999
adv_100,0.8,8,0.9814997159231394,0.7183270191740577,0.2631798209789362,0.8553333333333333
adv_100,0.8,9,0.98589985961042,0.7815187978909496,0.2042101862899304,0.7986666666666666
adv_100,0.8,10,0.9862094784190452,0.926278358938985,0.0600024552732305,0.802
adv_100,0.8,11,0.980097790376426,0.9605847060565518,0.0194410541808487,0.8239999999999998
adv_100,0.8,12,0.9906225491401032,0.9822189314470092,0.0083133043211771,0.8599999999999999
adv_100,0.8,13,0.9902230902795568,0.8529119584402944,0.137387296667593,0.8573333333333333
adv_100,0.8,14,0.9896093681877904,0.9882918937894656,0.0012386395394129,0.8446666666666665
adv_100,0.8,15,0.9860184730369984,0.93146898282879,0.0546913443898335,0.808
adv_100,0.8,16,0.9895593054090523,0.9860499987997894,0.0035025906889237,0.8426666666666667
adv_100,0.8,17,0.9879482358377398,0.983359318918472,0.0046402605418438,0.8533333333333335
adv_100,0.8,18,0.93914420411335,0.8044465154931582,0.1348406101284011,0.792
adv_100,0.8,19,0.989042005860155,0.9846263018764552,0.00432876229117,0.8346666666666667
adv_100,0.8,20,0.98500922719343,0.9558558947367024,0.0292792925003125,0.8393333333333333
adv_100,0.8,21,0.985633279207192,0.9697862187925322,0.0158428226471992,0.8586666666666667
adv_100,0.8,22,0.979808274776112,0.9774424230949336,0.0021957673594624,0.8439999999999999
adv_100,0.8,23,0.989929062870254,0.9887963379676492,0.0012564402059569,0.8353333333333333
adv_100,0.8,24,0.9854366936889962,0.9840295190213716,0.0013617697650573,0.798
adv_100,1.0,0,0.9922152660950386,0.8805303764363858,0.1115874992878713,1.0
adv_100,1.0,1,0.9911875019561036,0.8886461946245403,0.1026089832927892,1.0
adv_100,1.0,2,0.992208250896961,0.7066165087713993,0.2856263119670288,1.0
adv_100,1.0,3,0.9936835387570144,0.8882036632349951,0.1054022881856828,0.9933333333333332
adv_100,1.0,4,0.993717304996914,0.864694234294739,0.1290224874940214,1.0
adv_100,1.0,5,0.9913703965490482,0.8483299404020129,0.1429152748373966,1.0
adv_100,1.0,6,0.9923791141221656,0.7667223819699346,0.2257422371548832,1.0
adv_100,1.0,7,0.9921295377180326,0.7852426012113729,0.2069577495076191,1.0
adv_100,1.0,8,0.987490428237329,0.985968984813892,0.0014283491134776,0.992
adv_100,1.0,9,0.988114868979757,0.9531747726328914,0.0348187780776272,0.9446666666666664
adv_100,1.0,10,0.9912362740936652,0.986291055932324,0.0049100880418067,1.0
adv_100,1.0,11,0.9932359334415196,0.96443318102626,0.0287971777568929,1.0
adv_100,1.0,12,0.9908555110531532,0.99000422824032,0.0009094340421325,1.0
adv_100,1.0,13,0.9951241093246448,0.7040127807990872,0.2911420667183204,1.0
adv_100,1.0,14,0.9931590055494528,0.816041204366019,0.1770622726649546,0.998
adv_100,1.0,15,0.987022382477326,0.7708331511021804,0.2161112747039228,1.0
adv_100,1.0,16,0.991721782217242,0.9768109414958464,0.0148273738149319,1.0
adv_100,1.0,17,0.9833190382921572,0.9587090626602356,0.024686899710587,1.0
adv_100,1.0,18,0.9903195567160736,0.7391530523770975,0.2511955734736848,1.0
adv_100,1.0,19,0.9929578608625332,0.9890061026910522,0.0039024363029511,0.994
adv_100,1.0,20,0.9909132341012112,0.988855081103997,0.0020463541305177,0.9886666666666666
adv_100,1.0,21,0.9922848126742704,0.8909253989150772,0.1013083680626668,1.0
adv_100,1.0,22,0.9902417843149114,0.9429370701057348,0.0471884212616872,1.0
adv_100,1.0,23,0.993253588612706,0.7911788600748395,0.2020702965395877,0.962
adv_100,1.0,24,0.9929026022744378,0.7383627434206739,0.2545791303730116,1.0
faithful,0.05,0,0.9915700219959056,0.9390352170645806,0.0524312407398019,0.0699999999999998
faithful,0.05,1,0.9938745846512312,0.8857434745773911,0.1080444932733799,0.0673333333333334
faithful,0.05,2,0.9953107384213332,0.8058903444034393,0.1894854308442546,0.0686666666666666
faithful,0.05,3,0.9926445940421632,0.8269743720677931,0.1657643236526553,0.0633333333333334
faithful,0.05,4,0.991038562587276,0.8962958152002853,0.0946967084979715,0.0619999999999998
faithful,0.05,5,0.9902281196755212,0.9887744974344056,0.001470554925526,0.058
faithful,0.05,6,0.9920199743840248,0.9366634542393468,0.0554134522688598,0.064
faithful,0.05,7,0.992961026823482,0.7795092299357922,0.2134398663995427,0.0693333333333332
faithful,0.05,8,0.9924844588066096,0.9918448329074876,0.000666651583115,0.058
faithful,0.05,9,0.9914235625971216,0.9821695513091686,0.0092961296016185,0.0506666666666666
faithful,0.05,10,0.9930796953149328,0.877172624452609,0.115981209427429,0.0626666666666666
faithful,0.05,11,0.9922506867391864,0.9503924957426084,0.0419757375779688,0.0586666666666666
