2026-06-17 14:01:41,223 | INFO |   erythroblast vs hepatoblast -> inconclusive_underpowered (N*=8, cross=0.7241, floor_q=0.3039)
2026-06-17 14:01:41,223 | INFO |   erythroblast vs innate lymphoid cell -> inconclusive_underpowered (N*=12, cross=0.7117, floor_q=0.2642)
2026-06-17 14:01:41,223 | INFO |   erythroblast vs intestinal epithelial cell -> inconclusive_underpowered (N*=114, cross=0.8122, floor_q=0.09829)
2026-06-17 14:01:41,223 | INFO |   erythroblast vs macrophage -> inconclusive_underpowered (N*=17, cross=1.157, floor_q=0.2463)
2026-06-17 14:01:41,223 | INFO |   erythroblast vs megakaryocyte -> inconclusive_underpowered (N*=5, cross=0.6472, floor_q=0.4066)
2026-06-17 14:01:41,223 | INFO |   erythroblast vs myeloid cell -> inconclusive_underpowered (N*=6, cross=0.8825, floor_q=0.4005)
2026-06-17 14:01:41,223 | INFO |   erythroblast vs smooth muscle cell -> inconclusive_underpowered (N*=25, cross=0.7142, floor_q=0.1855)
2026-06-17 14:01:41,223 | INFO |   erythroblast vs stromal cell -> inconclusive_underpowered (N*=459, cross=0.7188, floor_q=0.04521)
2026-06-17 14:01:41,223 | INFO |   erythrocyte vs fibroblast -> inconclusive_underpowered (N*=2, cross=0.9599, floor_q=0.7616)
2026-06-17 14:01:41,223 | INFO |   erythrocyte vs hepatic stellate cell -> inconclusive_underpowered (N*=1, cross=0.9208, floor_q=0.795)
2026-06-17 14:01:41,223 | INFO |   erythrocyte vs hepatoblast -> inconclusive_underpowered (N*=2, cross=0.7801, floor_q=0.8944)
2026-06-17 14:01:41,223 | INFO |   erythrocyte vs innate lymphoid cell -> inconclusive_underpowered (N*=2, cross=0.7134, floor_q=0.5877)
2026-06-17 14:01:41,223 | INFO |   erythrocyte vs intestinal epithelial cell -> inconclusive_underpowered (N*=2, cross=0.8259, floor_q=0.709)
2026-06-17 14:01:41,223 | INFO |   erythrocyte vs macrophage -> inconclusive_underpowered (N*=2, cross=0.9686, floor_q=0.4441)
2026-06-17 14:01:41,223 | INFO |   erythrocyte vs megakaryocyte -> inconclusive_underpowered (N*=2, cross=0.6509, floor_q=0.6118)
2026-06-17 14:01:41,223 | INFO |   erythrocyte vs myeloid cell -> inconclusive_underpowered (N*=2, cross=0.8492, floor_q=0.9194)
2026-06-17 14:01:41,223 | INFO |   erythrocyte vs smooth muscle cell -> inconclusive_underpowered (N*=2, cross=0.8098, floor_q=0.6791)
2026-06-17 14:01:41,223 | INFO |   erythrocyte vs stromal cell -> inconclusive_underpowered (N*=2, cross=0.9044, floor_q=0.6926)
2026-06-17 14:01:41,223 | INFO |   fibroblast vs hepatic stellate cell -> inconclusive_underpowered (N*=1, cross=0.9495, floor_q=0.9803)
2026-06-17 14:01:41,223 | INFO |   fibroblast vs hepatoblast -> inconclusive_underpowered (N*=8, cross=0.6321, floor_q=0.4401)
2026-06-17 14:01:41,223 | INFO |   fibroblast vs innate lymphoid cell -> inconclusive_underpowered (N*=12, cross=0.7719, floor_q=0.3579)
2026-06-17 14:01:41,223 | INFO |   fibroblast vs intestinal epithelial cell -> inconclusive_underpowered (N*=114, cross=0.861, floor_q=0.1208)
2026-06-17 14:01:41,223 | INFO |   fibroblast vs macrophage -> inconclusive_underpowered (N*=17, cross=0.5754, floor_q=0.2953)
2026-06-17 14:01:41,223 | INFO |   fibroblast vs megakaryocyte -> inconclusive_underpowered (N*=5, cross=0.7718, floor_q=0.5652)
2026-06-17 14:01:41,223 | INFO |   fibroblast vs myeloid cell -> inconclusive_underpowered (N*=6, cross=0.5883, floor_q=0.5871)
2026-06-17 14:01:41,223 | INFO |   fibroblast vs smooth muscle cell -> inconclusive_underpowered (N*=25, cross=0.5144, floor_q=0.2521)
2026-06-17 14:01:41,223 | INFO |   fibroblast vs stromal cell -> inconclusive_underpowered (N*=459, cross=0.6089, floor_q=0.05479)
2026-06-17 14:01:41,223 | INFO |   hepatic stellate cell vs hepatoblast -> inconclusive_underpowered (N*=1, cross=0.7462, floor_q=1.122)
2026-06-17 14:01:41,223 | INFO |   hepatic stellate cell vs innate lymphoid cell -> inconclusive_underpowered (N*=1, cross=0.6673, floor_q=0.7622)
2026-06-17 14:01:41,223 | INFO |   hepatic stellate cell vs intestinal epithelial cell -> inconclusive_underpowered (N*=1, cross=0.7631, floor_q=1.008)
2026-06-17 14:01:41,223 | INFO |   hepatic stellate cell vs macrophage -> inconclusive_underpowered (N*=1, cross=1.158, floor_q=0.695)
2026-06-17 14:01:41,223 | INFO |   hepatic stellate cell vs megakaryocyte -> inconclusive_underpowered (N*=1, cross=0.7205, floor_q=0.7964)
2026-06-17 14:01:41,223 | INFO |   hepatic stellate cell vs myeloid cell -> inconclusive_underpowered (N*=1, cross=0.8303, floor_q=1.197)
2026-06-17 14:01:41,223 | INFO |   hepatic stellate cell vs smooth muscle cell -> inconclusive_underpowered (N*=1, cross=0.7015, floor_q=1.013)
2026-06-17 14:01:41,223 | INFO |   hepatic stellate cell vs stromal cell -> inconclusive_underpowered (N*=1, cross=0.6498, floor_q=0.8558)
2026-06-17 14:01:41,223 | INFO |   hepatoblast vs innate lymphoid cell -> inconclusive_underpowered (N*=8, cross=0.5689, floor_q=0.4028)
2026-06-17 14:01:41,223 | INFO |   hepatoblast vs intestinal epithelial cell -> inconclusive_underpowered (N*=8, cross=0.626, floor_q=0.4164)
2026-06-17 14:01:41,223 | INFO |   hepatoblast vs macrophage -> inconclusive_underpowered (N*=8, cross=0.7656, floor_q=0.2538)
2026-06-17 14:01:41,223 | INFO |   hepatoblast vs megakaryocyte -> inconclusive_underpowered (N*=5, cross=0.5269, floor_q=0.5742)
2026-06-17 14:01:41,223 | INFO |   hepatoblast vs myeloid cell -> inconclusive_underpowered (N*=6, cross=0.5334, floor_q=0.6679)
2026-06-17 14:01:41,223 | INFO |   hepatoblast vs smooth muscle cell -> inconclusive_underpowered (N*=8, cross=0.5441, floor_q=0.3722)
2026-06-17 14:01:41,223 | INFO |   hepatoblast vs stromal cell -> inconclusive_underpowered (N*=8, cross=0.4937, floor_q=0.3967)
2026-06-17 14:01:41,223 | INFO |   innate lymphoid cell vs intestinal epithelial cell -> inconclusive_underpowered (N*=12, cross=0.5766, floor_q=0.3891)
2026-06-17 14:01:41,224 | INFO |   innate lymphoid cell vs macrophage -> inconclusive_underpowered (N*=12, cross=0.9234, floor_q=0.2645)
2026-06-17 14:01:41,224 | INFO |   innate lymphoid cell vs megakaryocyte -> inconclusive_underpowered (N*=5, cross=0.5826, floor_q=0.3899)
2026-06-17 14:01:41,224 | INFO |   innate lymphoid cell vs myeloid cell -> inconclusive_underpowered (N*=6, cross=0.6584, floor_q=0.3788)
2026-06-17 14:01:41,224 | INFO |   innate lymphoid cell vs smooth muscle cell -> inconclusive_underpowered (N*=12, cross=0.4971, floor_q=0.3149)
2026-06-17 14:01:41,224 | INFO |   innate lymphoid cell vs stromal cell -> inconclusive_underpowered (N*=12, cross=0.5292, floor_q=0.3053)
2026-06-17 14:01:41,224 | INFO |   intestinal epithelial cell vs macrophage -> inconclusive_underpowered (N*=17, cross=1.033, floor_q=0.3019)
2026-06-17 14:01:41,224 | INFO |   intestinal epithelial cell vs megakaryocyte -> inconclusive_underpowered (N*=5, cross=0.6802, floor_q=0.5639)
